initialization_method,initial_temp,final_temp,alpha,num_steps,accepted_steps,initial_energy,final_energyrandom
random,1,0.1,0.999,10000,9317,-10,-15
random,1,0.1,0.999,10000,9221,-6,-15
random,3,0.5,0.99,10000,9402,-1,-13
linear,3,0.5,0.99,10000,9526,0,-4
linear,3,0.5,0.99,100000,95820,0,-4
linear,3,0.5,0.9,10000,9527,0,0
linear,3,0.5,0.8,10000,9700,0,-1
linear,30,1,0.95,10000,9820,0,-1
linear,15,1,0.9995,20000,19817,0,-4
linear,15,1,0.999,20000,19754,0,-3
linear,15,1,0.9985,20000,19682,0,-4
linear,10,1,0.999,10000,9815,0,-4
linear,10,1,0.9995,10000,9875,0,-2
linear,10,1,0.9985,10000,9867,0,-3
linear,10,1,0.998,10000,9868,0,-1
random,10,1,0.999,10000,9722,-5,-9
random,10,1,0.9995,10000,9786,-7,-13
random,10,1,0.9985,10000,9747,-4,-7
random,10,1,0.999,100000,97380,-2,-4
random,10,1,0.999,20000,19578,-7,-6
random,10,1,0.999,20000,19611,-2,-5
random,8,1,0.999,10000,9696,-5,-14
random,7,1,0.999,10000,9774,-2,-8
random,2,0.5,0.999,10000,9472,-5,-15
random,2,0.5,0.999,10000,9473,-13,-17
seed,2,0.5,0.999,10000,10000,0,0
seed,2,0.5,0.999,10000,9471,-17,-16
seed,2,0.5,0.999,10000,9519,-16,-20
seed,2,0.5,0.999,10000,9537,-20,-18
seed,2,0.5,0.999,10000,9358,-18,-19
